2024-03-06	周生生:651.00	金至尊:650.00	六福:650.00	老庙:648.00	周大福:650.00	菜百:623.00
2024-03-07	周生生:655.00	金至尊:655.00	六福:655.00	老庙:651.00	周大福:655.00	菜百:629.00
2024-03-08	周生生:660.00	金至尊:659.00	六福:659.00	老庙:655.00	周大福:659.00	菜百:629.00
2024-03-09	周生生:660.00	金至尊:659.00	六福:659.00	老庙:655.00	周大福:659.00	菜百:629.00
2024-03-10	周生生:664.00	金至尊:663.00	六福:663.00	老庙:662.00	周大福:663.00	菜百:635.00
2024-03-11	周生生:667.00	金至尊:666.00	六福:666.00	老庙:662.00	周大福:666.00	菜百:635.00
2024-03-12	周生生:665.00	金至尊:663.00	六福:663.00	老庙:660.00	周大福:663.00	菜百:635.00
2024-03-13	周生生:658.00	金至尊:660.00	六福:660.00	老庙:657.00	周大福:660.00	菜百:635.00
2024-03-14	周生生:665.00	金至尊:663.00	六福:663.00	老庙:660.00	周大福:663.00	菜百:635.00
2024-03-15	周生生:662.00	金至尊:660.00	六福:660.00	老庙:659.00	周大福:660.00	菜百:635.00
2024-03-16	周生生:662.00	金至尊:660.00	六福:660.00	老庙:659.00	周大福:660.00	菜百:635.00
2024-03-17	周生生:660.00	金至尊:660.00	六福:660.00	老庙:659.00	周大福:660.00	菜百:635.00
2024-03-18	周生生:660.00	金至尊:660.00	六福:660.00	老庙:658.00	周大福:660.00	菜百:635.00
2024-03-19	周生生:662.00	金至尊:660.00	六福:660.00	老庙:658.00	周大福:660.00	菜百:635.00
2024-03-20	周生生:661.00	金至尊:660.00	六福:660.00	老庙:658.00	周大福:660.00	菜百:635.00
2024-03-21	周生生:674.00	金至尊:672.00	六福:672.00	老庙:667.00	周大福:672.00	菜百:645.00
2024-03-22	周生生:669.00	金至尊:668.00	六福:668.00	老庙:664.00	周大福:668.00	菜百:645.00
2024-03-23	周生生:669.00	金至尊:668.00	六福:668.00	老庙:664.00	周大福:668.00	菜百:645.00
2024-03-24	周生生:666.00	金至尊:668.00	六福:668.00	老庙:668.00	周大福:668.00	菜百:645.00
2024-03-25	周生生:666.00	金至尊:668.00	六福:668.00	老庙:667.00	周大福:668.00	菜百:645.00
2024-03-26	周生生:669.00	金至尊:669.00	六福:669.00	老庙:668.00	周大福:669.00	菜百:645.00
2024-03-27	周生生:670.00	金至尊:671.00	六福:671.00	老庙:671.00	周大福:671.00	菜百:645.00
2024-03-28	周生生:675.00	金至尊:673.00	六福:673.00	老庙:672.00	周大福:673.00	菜百:645.00
2024-03-29	周生生:688.00	金至尊:686.00	六福:686.00	老庙:682.00	周大福:686.00	菜百:653.00
2024-03-30	周生生:688.00	金至尊:686.00	六福:686.00	老庙:682.00	周大福:686.00	菜百:653.00
2024-03-31	菜百:653.00	老庙:682.00	六福:686.00	金至尊:686.00	周生生:688.00	周大福:686.00
2024-04-01	菜百:653.00	老庙:690.00	六福:693.00	金至尊:693.00	周生生:693.00	周大福:693.00
